LocusTag ;%
b0236;0.371685059
b0237;3.304492999
b0238;4.306165299
b0239;1.403638489
b0240;7.788601995
b0241;0.326558231
b0242;3.35455784
b0243;4.975701557
b0244;7.483280091
b0245;0.209074382
b0246;2.294808851
b0247;0.585577519
b0248;0.270760966
b0249;1.156411679
b0250;0.686993425
b0251;0.344261306
b0252;0.300977306
b0253;1.184927288
b0254;0.82472033
b0256;0
b0258;1.348467771
b0259;0
b0260;1.579788686
b0261;2.134290665
b0262;1.123460179
b0263;0.840720464
b0264;0
b0265;1.190025803
b0266;0.815757987
b0267;0.999914877
b0268;0.342858018
b0269;1.992214745
b0270;0.379140302
b0271;1.402146851
b0272;1.101849838
b0273;5.676682951
b0274;0
b0275;0
b0276;0.481783533
b0277;0.26674179
b0278;0.250017188
b0279;0.165110458
b0280;3.387534372
b0281;1.50782784
b0283;0.551796268
b0284;0.639816884
b0285;1.610005763
b0286;0.827295724
b0287;3.847350484
b0288;0.862198281
b0289;0.348948995
b0290;1.662784412
b0291;0.816835117
b0292;0.411954124
b0293;0.372226937
b0294;0.261224571
b0295;0.161625503
b0296;0.241931717
b0297;0.620067041
b0298;0
b0299;0
b0300;0.966309589
b0301;0.653368995
b0303;0.148066987
b0304;0.44212629
b0305;0.396547406
b0306;1.79633532
b0307;0.648066539
b0308;1.295249582
b0310;0.26505431
b0311;1.340127557
b0312;1.763583343
b0313;4.144154002
b0314;1.843243131
b0315;1.036508595
b0316;0.655078562
b0317;0.821971181
b0318;1.124451905
b0319;0.387869991
b0320;0.32301099
b0321;1.3618476
b0323;0.744715242
b0324;0.973781767
b0325;2.936059946
b0326;0.06260115
b0327;0.119145854
b0328;0.573005354
b0329;5.04004224
b0330;0.794339806
b0331;0.771592699
b0333;0.900320448
b0334;0.138211723
b0335;1.236784155
b0336;6.922634862
b0337;7.296133299
b0338;0.565935904
b0339;1.279998211
b0340;0.343993312
b0341;1.281196822
b0342;0.07441071
b0343;0.184768786
b0344;1.522476224
b0345;0.80595485
b0346;2.70457632
b0347;0.981717044
b0348;0.838365944
b0349;1.135345425
b0350;0.534591633
b0351;0.284704024
b0352;1.405017481
b0353;1.781626564
b0354;3.264919687
b0355;0.425336898
b0356;3.189262878
b0357;2.362145326
b0358;0.204182753
b0360;1.912004244
b0361;2.987700357
b0363;0.122519562
b0364;0.753115091
b0365;0.567394411
b0366;0.489869741
b0367;0.733271745
b0368;0.419656011
b0369;2.712682407
b0372;0.797264182
b0373;3.658664935
b0375;0.21727758
b0376;0.803384609
b0377;0.757416986
b0378;1.344604679
b0379;0.705847256
b0380;0.564823434
b0381;0.95674426
b0382;3.481082
b0383;1.481822837
b0384;1.936067763
b0385;0.391360541
b0386;3.001063252
b0387;0.999917822
b0388;3.573245481
b0389;2.660902109
b0390;0.855025756
b0391;4.216887908
b0392;0.547552537
b0393;2.96847693
b0394;2.203779927
b0396;0.279087927
b0397;1.710233365
b0398;1.10526161
b0399;0.805873862
b0400;0.309321201
b0401;1.014649402
b0402;0.8133696
b0403;1.077504337
b0404;2.154604474
b0405;1.632734464
b0406;4.842072607
b0407;7.033771446
b0408;3.216629203
b0409;2.175308494
b0410;2.061260787
b0411;5.640282867
b0412;0.245221271
b0413;3.939580228
b0414;2.880311273
b0415;5.870750472
b0416;6.58012509
b0417;3.599257111
b0418;2.239967972
b0419;4.547013996
b0420;2.299118109
b0421;3.990145717
b0422;5.730215519
b0423;2.459369038
b0424;2.94576369
b0425;2.766943859
b0426;5.537914993
b0427;0.718096208
b0428;4.726636337
b0429;9.823435908
b0430;9.459280454
b0431;11.11421794
b0432;13.10174794
b0433;0.928787464
b0434;5.008140629
b0435;4.277400103
b0436;7.238661807
b0437;4.456912007
b0438;4.273991277
b0439;4.095377595
b0440;6.678149103
b0441;2.569092026
b0442;2.386379654
